analysis_time_ms,res_width,res_height,pixels_per_module,avg_luminance,AE_AF_status,sharpness,payload_preview
1780402921267,1080,1080,-1.000,-1.000,BUSY_DROP,-1.000,""
1780402921278,1080,1080,-1.000,-1.000,BUSY_DROP,-1.000,""
1780402921245,700,700,7.216,25.918,AE/OFF AF/OFF ,2550.343,""
1780402921346,1080,1080,-1.000,-1.000,BUSY_DROP,-1.000,""
1780402921311,700,700,7.216,33.196,AE/OFF AF/OFF ,4265.454,""
1780402921381,700,700,7.216,37.238,AE/OFF AF/OFF ,4607.099,""
1780402921413,700,700,7.216,40.107,AE/OFF AF/OFF ,5425.453,""
1780402921446,700,700,7.216,46.031,AE/OFF AF/OFF ,6563.481,""
1780402921480,700,700,7.216,46.677,AE/OFF AF/OFF ,8496.148,""
1780402921512,700,700,7.216,49.776,AE/OFF AF/OFF ,9980.387,""
1780402921550,700,700,7.216,49.503,AE/OFF AF/OFF ,10331.963,""
1780402921581,700,700,7.216,52.267,AE/OFF AF/OFF ,10752.840,""
1780402921617,700,700,7.216,52.871,AE/OFF AF/OFF ,12132.641,""
1780402921646,700,700,7.216,53.910,AE/OFF AF/OFF ,13102.359,""
1780402921680,700,700,7.216,55.835,AE/OFF AF/OFF ,12773.071,""
1780402921713,700,700,7.216,62.749,AE/OFF AF/OFF ,10650.379,""
1780402921746,700,700,7.216,70.515,AE/OFF AF/OFF ,11377.768,""
1780402921779,700,700,7.216,77.675,AE/OFF AF/OFF ,13650.693,""
1780402921847,1080,1080,-1.000,-1.000,BUSY_DROP,-1.000,""
1780402921816,700,700,6.879,86.215,AE/OFF AF/OFF ,15862.882,"00000183|1780399513809|2meVLbJRJGEJOYxJ0Uu5xgoHtab6T2AZfs1Dg8DqnUwv6THh6490Ck35ThgKcGE0CZZiGCX1V5pSYtLHc6Fl7LuSi36HKAo5s5edExdup1CLkMAfirthydmAR8w6ytikKAZ5zxDRsKGdySHZtuO9pGfF528GEvy1fsE7neYsgfxmlmQFe..."
1780402921883,700,700,7.216,103.911,AE/OFF AF/OFF ,23676.991,""
1780402921914,700,700,7.216,106.068,AE/OFF AF/OFF ,29571.564,""
1780402921947,700,700,7.059,109.347,AE/OFF AF/OFF ,34847.491,"00000184|1780399560640|OICJAbBDE9EXIoTeORDux1UPcwaEL7WdTiyhPb6PGH8zAPWnpF7wkPUHZ4w6LXHpJqWpDjKCfOxUNoe3hQjXNIGEX3Xrt7a1SoODjnmzvROw67mjALR1dyAXzYlvNDNmBnVrd5glyaSRoxO5Xdk2if7uJKysYeNTV6NqZu8IUmKvb8tNz..."
1780402921981,700,700,7.098,113.099,AE/OFF AF/OFF ,43184.321,"00000184|1780399560640|OICJAbBDE9EXIoTeORDux1UPcwaEL7WdTiyhPb6PGH8zAPWnpF7wkPUHZ4w6LXHpJqWpDjKCfOxUNoe3hQjXNIGEX3Xrt7a1SoODjnmzvROw67mjALR1dyAXzYlvNDNmBnVrd5glyaSRoxO5Xdk2if7uJKysYeNTV6NqZu8IUmKvb8tNz..."
1780402922015,700,700,7.109,112.759,AE/OFF AF/OFF ,49524.642,"00000184|1780399560640|OICJAbBDE9EXIoTeORDux1UPcwaEL7WdTiyhPb6PGH8zAPWnpF7wkPUHZ4w6LXHpJqWpDjKCfOxUNoe3hQjXNIGEX3Xrt7a1SoODjnmzvROw67mjALR1dyAXzYlvNDNmBnVrd5glyaSRoxO5Xdk2if7uJKysYeNTV6NqZu8IUmKvb8tNz..."
1780402922049,700,700,7.105,114.179,AE/OFF AF/OFF ,50218.582,"00000185|1780399560841|HUGdkyGIbCsZk7r5zZzopF3rWSFyAEryWRxn4QMGovxc0d1dwxVCOKnXoQGpZPYVPK9uMu2u5uZfckroGUSxB44ZLcNg7HTkLyVkmCjUnJq10aqOzgdLsXkmPPCx6Ow9JuF1G4ZMfYUACpxN0IYdwRk2Q3wA1GEGYrpElIQlh3nqL35Ys..."
1780402922080,700,700,7.090,112.719,AE/OFF AF/OFF ,50169.523,"00000185|1780399560841|HUGdkyGIbCsZk7r5zZzopF3rWSFyAEryWRxn4QMGovxc0d1dwxVCOKnXoQGpZPYVPK9uMu2u5uZfckroGUSxB44ZLcNg7HTkLyVkmCjUnJq10aqOzgdLsXkmPPCx6Ow9JuF1G4ZMfYUACpxN0IYdwRk2Q3wA1GEGYrpElIQlh3nqL35Ys..."
1780402922115,700,700,7.054,109.491,AE/OFF AF/OFF ,50974.736,"00000185|1780399560841|HUGdkyGIbCsZk7r5zZzopF3rWSFyAEryWRxn4QMGovxc0d1dwxVCOKnXoQGpZPYVPK9uMu2u5uZfckroGUSxB44ZLcNg7HTkLyVkmCjUnJq10aqOzgdLsXkmPPCx6Ow9JuF1G4ZMfYUACpxN0IYdwRk2Q3wA1GEGYrpElIQlh3nqL35Ys..."
1780402922148,700,700,7.017,105.665,AE/OFF AF/OFF ,49719.887,"00000185|1780399560841|HUGdkyGIbCsZk7r5zZzopF3rWSFyAEryWRxn4QMGovxc0d1dwxVCOKnXoQGpZPYVPK9uMu2u5uZfckroGUSxB44ZLcNg7HTkLyVkmCjUnJq10aqOzgdLsXkmPPCx6Ow9JuF1G4ZMfYUACpxN0IYdwRk2Q3wA1GEGYrpElIQlh3nqL35Ys..."
1780402922180,700,700,6.970,111.747,AE/OFF AF/OFF ,48747.022,"00000185|1780399560841|HUGdkyGIbCsZk7r5zZzopF3rWSFyAEryWRxn4QMGovxc0d1dwxVCOKnXoQGpZPYVPK9uMu2u5uZfckroGUSxB44ZLcNg7HTkLyVkmCjUnJq10aqOzgdLsXkmPPCx6Ow9JuF1G4ZMfYUACpxN0IYdwRk2Q3wA1GEGYrpElIQlh3nqL35Ys..."
1780402922214,700,700,6.923,111.789,AE/OFF AF/OFF ,47597.233,"00000185|1780399560841|HUGdkyGIbCsZk7r5zZzopF3rWSFyAEryWRxn4QMGovxc0d1dwxVCOKnXoQGpZPYVPK9uMu2u5uZfckroGUSxB44ZLcNg7HTkLyVkmCjUnJq10aqOzgdLsXkmPPCx6Ow9JuF1G4ZMfYUACpxN0IYdwRk2Q3wA1GEGYrpElIQlh3nqL35Ys..."
1780402922246,700,700,7.216,112.894,AE/OFF AF/OFF ,38633.800,""
1780402922281,700,700,7.216,110.843,AE/OFF AF/OFF ,34909.932,""
1780402922314,700,700,6.939,113.835,AE/OFF AF/OFF ,41974.002,"00000186|1780399561041|epfLEdVGfWmYGLsigTGsr1nVzSOmLHHUgeRSrX8Xgrk9BH4VjchuEBQvY4umiXocv4d4tVO1zO0k0cs3Enym0ymCXsDSC3xnsvipuW1m3ISVbVKEyYr1Fcqkol1RpWFUNHSaYYxUiL7rzDlXBBExpfIy7Pwr4QhhcEvHD9CWj1YWyJ4k6..."
1780402922348,700,700,7.015,113.274,AE/OFF AF/OFF ,44205.562,"00000186|1780399561041|epfLEdVGfWmYGLsigTGsr1nVzSOmLHHUgeRSrX8Xgrk9BH4VjchuEBQvY4umiXocv4d4tVO1zO0k0cs3Enym0ymCXsDSC3xnsvipuW1m3ISVbVKEyYr1Fcqkol1RpWFUNHSaYYxUiL7rzDlXBBExpfIy7Pwr4QhhcEvHD9CWj1YWyJ4k6..."
1780402922386,700,700,7.080,107.747,AE/OFF AF/OFF ,49660.971,"00000186|1780399561041|epfLEdVGfWmYGLsigTGsr1nVzSOmLHHUgeRSrX8Xgrk9BH4VjchuEBQvY4umiXocv4d4tVO1zO0k0cs3Enym0ymCXsDSC3xnsvipuW1m3ISVbVKEyYr1Fcqkol1RpWFUNHSaYYxUiL7rzDlXBBExpfIy7Pwr4QhhcEvHD9CWj1YWyJ4k6..."
1780402922415,700,700,7.113,108.373,AE/OFF AF/OFF ,53505.338,"00000186|1780399561041|epfLEdVGfWmYGLsigTGsr1nVzSOmLHHUgeRSrX8Xgrk9BH4VjchuEBQvY4umiXocv4d4tVO1zO0k0cs3Enym0ymCXsDSC3xnsvipuW1m3ISVbVKEyYr1Fcqkol1RpWFUNHSaYYxUiL7rzDlXBBExpfIy7Pwr4QhhcEvHD9CWj1YWyJ4k6..."
1780402922447,700,700,7.153,106.402,AE/OFF AF/OFF ,52215.752,"00000187|1780399561242|o4e0kzpgVkmmDw6VRd60Sgktll8DBJi0EuyCZvq362nnelSEtmXnHZfKobU9c3mt1lWEYaVA20lS22IaaZfLjFSNWmsUoE6AtucaOIBzcuegEYvaSi6sm6X1r5dXitb0vKLaGR5Jauzzf6ika3uofRzKd6NwAzgKtnrWrWXm2RKKUYlRs..."
1780402922485,700,700,7.189,104.578,AE/OFF AF/OFF ,55099.577,"00000187|1780399561242|o4e0kzpgVkmmDw6VRd60Sgktll8DBJi0EuyCZvq362nnelSEtmXnHZfKobU9c3mt1lWEYaVA20lS22IaaZfLjFSNWmsUoE6AtucaOIBzcuegEYvaSi6sm6X1r5dXitb0vKLaGR5Jauzzf6ika3uofRzKd6NwAzgKtnrWrWXm2RKKUYlRs..."
1780402922515,700,700,7.216,103.802,AE/OFF AF/OFF ,55824.110,""
1780402922550,700,700,7.236,103.386,AE/OFF AF/OFF ,56851.710,"00000187|1780399561242|o4e0kzpgVkmmDw6VRd60Sgktll8DBJi0EuyCZvq362nnelSEtmXnHZfKobU9c3mt1lWEYaVA20lS22IaaZfLjFSNWmsUoE6AtucaOIBzcuegEYvaSi6sm6X1r5dXitb0vKLaGR5Jauzzf6ika3uofRzKd6NwAzgKtnrWrWXm2RKKUYlRs..."
1780402922584,700,700,7.216,105.903,AE/OFF AF/OFF ,56434.911,""
1780402922614,700,700,7.216,112.562,AE/OFF AF/OFF ,51632.035,""
1780402922648,700,700,7.216,110.942,AE/OFF AF/OFF ,47999.387,""
1780402922681,700,700,7.185,109.794,AE/OFF AF/OFF ,49814.827,"00000188|1780399561443|mOBfPw3faQfRoU6mvxeKXVGDK2ksT3nye4gnUamU6KALr8RUm1FKHFR6pxH5h72seKPWqqzvlqfq9OJsc0ugk9lE1rFeYvbgyKQQLt8mbi4zennpeHBDJIvMHVP2M73aR2Nvpvgi9V9lZyV3wSiS8UYiJG4nMNjutdiu4lHFXrm97z4qM..."
1780402922714,700,700,7.112,111.678,AE/OFF AF/OFF ,41729.382,"00000188|1780399561443|mOBfPw3faQfRoU6mvxeKXVGDK2ksT3nye4gnUamU6KALr8RUm1FKHFR6pxH5h72seKPWqqzvlqfq9OJsc0ugk9lE1rFeYvbgyKQQLt8mbi4zennpeHBDJIvMHVP2M73aR2Nvpvgi9V9lZyV3wSiS8UYiJG4nMNjutdiu4lHFXrm97z4qM..."
1780402922750,700,700,7.216,115.136,AE/OFF AF/OFF ,32579.515,""
1780402922783,700,700,6.952,111.579,AE/OFF AF/OFF ,45907.061,"00000188|1780399561443|mOBfPw3faQfRoU6mvxeKXVGDK2ksT3nye4gnUamU6KALr8RUm1FKHFR6pxH5h72seKPWqqzvlqfq9OJsc0ugk9lE1rFeYvbgyKQQLt8mbi4zennpeHBDJIvMHVP2M73aR2Nvpvgi9V9lZyV3wSiS8UYiJG4nMNjutdiu4lHFXrm97z4qM..."
1780402922817,700,700,6.897,111.881,AE/OFF AF/OFF ,50258.083,"00000188|1780399561443|mOBfPw3faQfRoU6mvxeKXVGDK2ksT3nye4gnUamU6KALr8RUm1FKHFR6pxH5h72seKPWqqzvlqfq9OJsc0ugk9lE1rFeYvbgyKQQLt8mbi4zennpeHBDJIvMHVP2M73aR2Nvpvgi9V9lZyV3wSiS8UYiJG4nMNjutdiu4lHFXrm97z4qM..."
1780402922849,700,700,7.216,110.621,AE/OFF AF/OFF ,45279.075,""
1780402922882,700,700,7.216,111.316,AE/OFF AF/OFF ,42255.558,""
1780402922913,700,700,7.216,106.001,AE/OFF AF/OFF ,36250.459,""
1780402922949,700,700,7.216,105.221,AE/OFF AF/OFF ,29825.174,""
1780402922981,700,700,7.216,108.516,AE/OFF AF/OFF ,27488.020,""
1780402923014,700,700,7.216,107.412,AE/OFF AF/OFF ,26028.184,""
1780402923048,700,700,7.216,102.172,AE/OFF AF/OFF ,23490.529,""
1780402923081,700,700,7.216,106.611,AE/OFF AF/OFF ,23158.746,""
1780402923116,700,700,7.216,106.690,AE/OFF AF/OFF ,22180.549,""
1780402923149,700,700,7.216,109.379,AE/OFF AF/OFF ,20787.254,""
1780402923183,700,700,7.216,109.083,AE/OFF AF/OFF ,19264.073,""
1780402923216,700,700,7.216,108.109,AE/OFF AF/OFF ,17594.274,""
1780402923248,700,700,7.216,101.572,AE/OFF AF/OFF ,15740.657,""
1780402923281,700,700,7.216,104.491,AE/OFF AF/OFF ,15737.161,""
1780402923314,700,700,7.216,104.035,AE/OFF AF/OFF ,15606.805,""
1780402923350,700,700,7.216,105.493,AE/OFF AF/OFF ,16073.019,""
1780402923380,700,700,7.216,108.364,AE/OFF AF/OFF ,16935.316,""
1780402923416,700,700,7.216,104.933,AE/OFF AF/OFF ,17840.678,""
1780402923449,700,700,7.216,105.333,AE/OFF AF/OFF ,18870.609,""
1780402923481,700,700,7.216,106.692,AE/OFF AF/OFF ,19190.027,""
1780402923519,700,700,7.216,106.018,AE/OFF AF/OFF ,18976.656,""
1780402923547,700,700,7.216,103.766,AE/OFF AF/OFF ,18099.144,""
1780402923587,700,700,5.901,104.247,AE/OFF AF/OFF ,16910.080,"00000192|1780399562251|kTcT3JdL7cOl9jHBE7uSbsqOV5vb9sX1mUhvqlDngwenTjkan2T0Nkg69er4FGX8T8WlOfVIOzwo5Cal52c6tinPi247ej5IKJiik4rDf3HkKr2HnE2N6Q7kbXXNnz2AmaGb1odAGCsnGs2c1l1sqomS5jCzEgEnKeRA9JffkGRlLFDmv..."
1780402923615,700,700,7.216,106.329,AE/OFF AF/OFF ,15376.996,""
1780402923648,700,700,7.216,101.403,AE/OFF AF/OFF ,11431.168,""
1780402923680,700,700,7.216,101.182,AE/OFF AF/OFF ,14030.562,""
1780402923717,700,700,5.706,101.396,AE/OFF AF/OFF ,13255.917,"00000193|1780399562453|WjbFY23FgJVHFlWxDNKeBPUO5xB0CDUTXdFRcaEXclXG7gvfPyN32WIXSf1gNod6vLEmWEBWGilqXuiSwiHr7bpqfv8vkolCdwi8ihDGhWbBsJOhYuB9NMEjeOuYYXKaypmJDU6veDo8Yu8x6T00T16Uqxs1yjDBbPqCVdT45wKQrDXCB..."
1780402923747,700,700,7.216,102.549,AE/OFF AF/OFF ,12718.349,""
1780402923781,700,700,5.685,101.258,AE/OFF AF/OFF ,12467.985,"00000193|1780399562453|WjbFY23FgJVHFlWxDNKeBPUO5xB0CDUTXdFRcaEXclXG7gvfPyN32WIXSf1gNod6vLEmWEBWGilqXuiSwiHr7bpqfv8vkolCdwi8ihDGhWbBsJOhYuB9NMEjeOuYYXKaypmJDU6veDo8Yu8x6T00T16Uqxs1yjDBbPqCVdT45wKQrDXCB..."
1780402923815,700,700,7.216,101.818,AE/OFF AF/OFF ,12622.959,""
1780402923848,700,700,7.216,99.992,AE/OFF AF/OFF ,9013.165,""
1780402923882,700,700,7.216,103.695,AE/OFF AF/OFF ,13010.951,""
1780402923916,700,700,5.803,105.211,AE/OFF AF/OFF ,13620.631,"00000194|1780399562654|bTglVcnvWU0zmfv1YAaQuw7rwNUp36HS5kE3yLorxq6rNLVQrqzdLccH9Er0rlHjNAAJr5f0GuTtaouafiV53BXKL3N5JlXflT5SqNNkx4iKj5UJHGwa727MBcnwVqKcaZ306p81Th2ivOQbMxayTUqSunlLD3ILDjRrlZQv6j3NBoZFv..."
1780402923950,700,700,7.216,104.184,AE/OFF AF/OFF ,14152.890,""
1780402923986,700,700,7.216,102.363,AE/OFF AF/OFF ,14253.499,""
1780402924015,700,700,7.216,102.264,AE/OFF AF/OFF ,13987.218,""
1780402924050,700,700,7.216,102.321,AE/OFF AF/OFF ,10670.394,""
1780402924082,700,700,7.216,102.880,AE/OFF AF/OFF ,12725.096,""
1780402924114,700,700,7.216,103.295,AE/OFF AF/OFF ,11924.531,""
1780402924149,700,700,7.216,102.471,AE/OFF AF/OFF ,10805.964,""
1780402924185,700,700,7.216,101.330,AE/OFF AF/OFF ,9953.097,""
1780402924216,700,700,7.216,99.920,AE/OFF AF/OFF ,9174.952,""
1780402924249,700,700,7.216,98.805,AE/OFF AF/OFF ,7983.234,""
1780402924283,700,700,7.216,98.573,AE/OFF AF/OFF ,7455.329,""
1780402924319,700,700,7.216,99.183,AE/OFF AF/OFF ,7061.581,""
1780402924347,700,700,7.216,99.875,AE/OFF AF/OFF ,6776.432,""
1780402924382,700,700,7.216,98.216,AE/OFF AF/OFF ,6640.451,""
1780402924415,700,700,7.216,97.055,AE/OFF AF/OFF ,6575.749,""
1780402924449,700,700,7.216,96.031,AE/OFF AF/OFF ,6619.697,""
1780402924483,700,700,7.216,97.021,AE/OFF AF/OFF ,6660.373,""
1780402924516,700,700,7.216,96.798,AE/OFF AF/OFF ,6701.423,""
1780402924550,700,700,7.216,96.503,AE/OFF AF/OFF ,6740.454,""
1780402924585,700,700,7.216,97.061,AE/OFF AF/OFF ,6762.114,""
1780402924615,700,700,7.216,97.464,AE/OFF AF/OFF ,6924.345,""
1780402924651,700,700,7.216,99.131,AE/OFF AF/OFF ,7286.837,""
1780402924682,700,700,7.216,100.052,AE/OFF AF/OFF ,7943.877,""
1780402924716,700,700,7.216,99.873,AE/OFF AF/OFF ,9101.163,""
1780402924748,700,700,5.636,100.008,AE/OFF AF/OFF ,10584.865,"00000198|1780399563462|2RpQNP1cYBihUc40yqFhzRPQe14k86WC6YmY81LicHhwqvokZNwcZtNOWjrzHPZfDmzoIXRyuhjK61MFUPj3YKBNIVETPdwzFDShmBcZaaquGFs9PnzChifCxAhXda4xq8puNrz5fX5fP52M6yM6KfiICc7wYE1VkjCbEVoKAd45lTf9l..."
1780402924784,700,700,7.216,102.127,AE/OFF AF/OFF ,12198.161,""
1780402924819,700,700,5.822,103.758,AE/OFF AF/OFF ,13947.989,"00000198|1780399563462|2RpQNP1cYBihUc40yqFhzRPQe14k86WC6YmY81LicHhwqvokZNwcZtNOWjrzHPZfDmzoIXRyuhjK61MFUPj3YKBNIVETPdwzFDShmBcZaaquGFs9PnzChifCxAhXda4xq8puNrz5fX5fP52M6yM6KfiICc7wYE1VkjCbEVoKAd45lTf9l..."
1780402924850,700,700,7.216,101.903,AE/OFF AF/OFF ,15240.339,""
1780402924885,700,700,7.216,105.562,AE/OFF AF/OFF ,12316.055,""
1780402924915,700,700,7.216,105.410,AE/OFF AF/OFF ,17789.471,""
1780402924949,700,700,6.059,106.271,AE/OFF AF/OFF ,19886.431,"00000199|1780399563664|IGk2XRovlKwsyLlFbyHDeRGQzWvWRlSBjyPqnqYqM3llcNBpslBpNL5MSzLS3pjjJwNLmzJRUnA97ZoRZJkft4duPDZxYeCbRbqSnaXy8Yo3zs8VMZ5kWjpj3i1pLMBYx1ll65A4a4UNOM5vGcrRXu0Xj3lD6HMZh2BzmgThqGKMKXqxH..."
1780402924986,700,700,7.216,108.249,AE/OFF AF/OFF ,22462.592,""
1780402925021,700,700,7.216,110.104,AE/OFF AF/OFF ,26336.924,""
1780402925050,700,700,6.379,107.763,AE/OFF AF/OFF ,30852.152,"00000199|1780399563664|IGk2XRovlKwsyLlFbyHDeRGQzWvWRlSBjyPqnqYqM3llcNBpslBpNL5MSzLS3pjjJwNLmzJRUnA97ZoRZJkft4duPDZxYeCbRbqSnaXy8Yo3zs8VMZ5kWjpj3i1pLMBYx1ll65A4a4UNOM5vGcrRXu0Xj3lD6HMZh2BzmgThqGKMKXqxH..."
1780402925086,700,700,7.216,109.531,AE/OFF AF/OFF ,28354.650,""
1780402925117,700,700,7.216,108.359,AE/OFF AF/OFF ,38617.230,""
1780402925153,700,700,7.216,111.683,AE/OFF AF/OFF ,40486.691,""
1780402925182,700,700,6.638,110.879,AE/OFF AF/OFF ,40732.194,"00000200|1780399563865|RjIcQB5TbQTpNhukadTphqrK9AztV5pw0HZ1xeQFSu7dVhg24W3XJSoCkfLOIlCGsKwzazir6jSTPeAZbn5WpiZZ5jbpP009frtou8DPNDjkjouecbVjFLEnLScNxA7S4Y3bHtFgxt9Qe06u68rmRc8aoV6YKpmGsVIbhapjGGDqZANTv..."
1780402925220,700,700,6.583,110.408,AE/OFF AF/OFF ,39800.259,"00000200|1780399563865|RjIcQB5TbQTpNhukadTphqrK9AztV5pw0HZ1xeQFSu7dVhg24W3XJSoCkfLOIlCGsKwzazir6jSTPeAZbn5WpiZZ5jbpP009frtou8DPNDjkjouecbVjFLEnLScNxA7S4Y3bHtFgxt9Qe06u68rmRc8aoV6YKpmGsVIbhapjGGDqZANTv..."
1780402925251,700,700,6.532,111.326,AE/OFF AF/OFF ,37819.126,"00000200|1780399563865|RjIcQB5TbQTpNhukadTphqrK9AztV5pw0HZ1xeQFSu7dVhg24W3XJSoCkfLOIlCGsKwzazir6jSTPeAZbn5WpiZZ5jbpP009frtou8DPNDjkjouecbVjFLEnLScNxA7S4Y3bHtFgxt9Qe06u68rmRc8aoV6YKpmGsVIbhapjGGDqZANTv..."
1780402925286,700,700,7.216,106.671,AE/OFF AF/OFF ,36205.349,""
1780402925320,700,700,7.216,108.143,AE/OFF AF/OFF ,35643.957,""
1780402925350,700,700,7.216,107.873,AE/OFF AF/OFF ,35084.821,""
1780402925384,700,700,6.458,107.618,AE/OFF AF/OFF ,35463.026,"00000201|1780399564067|v084x6CTbeKUnLPyJjUcCd1OEubd86YfVIdYxNDF8iEvF9d6N95fiyrfsPoz9IuXboNZX70ZRQd6SUxfnmL9R71CD29Qld6TYUECJSwXJEBzTGS8M9Wxlb2crUuUw3b24t81P3BxXu7M7lCcbR0GNcuvVeKKTWghoNKqq7E3rpjuqdJhh..."
1780402925420,700,700,7.216,105.433,AE/OFF AF/OFF ,35728.594,""
1780402925451,700,700,7.216,108.371,AE/OFF AF/OFF ,35397.840,""
1780402925484,700,700,7.216,108.929,AE/OFF AF/OFF ,34369.790,""
1780402925520,700,700,6.442,107.395,AE/OFF AF/OFF ,33866.410,"00000202|1780399564270|jjWA58xLhfxTIywIgtm8PVrXBNIU9sgz1GlUPkKyHPl4xwTe9TbVwYnfgWRwQWbzfu0RT7ajJHmEf9Q30bJmulD670hlghzjgR5dDi47aHQ97nsmCfcnrm7oQsk2gw4JYfZY4BqqQ3eW5Xf9cQJs60k1EJPdUsieQdP7kmSbL1Y5jCeON..."
1780402925551,700,700,7.216,107.808,AE/OFF AF/OFF ,33017.218,""
1780402925583,700,700,7.216,109.048,AE/OFF AF/OFF ,32104.219,""
1780402925617,700,700,7.216,107.267,AE/OFF AF/OFF ,31488.945,""
1780402925652,700,700,7.216,108.588,AE/OFF AF/OFF ,31399.847,""
1780402925683,700,700,7.216,106.104,AE/OFF AF/OFF ,31504.696,""
1780402925717,700,700,6.388,108.158,AE/OFF AF/OFF ,31549.143,"00000203|1780399564475|EN9NPUQpRgMwR08SKbNYIKdQKSqcuclKScYOh9lTvpgwZqSwQI8fbNo1ekZidTzFeKKUZu5PXq9O6tiOXpimQR5sZZEyIlNmPaPdBaiQ7LpuwCOP7L5RXMXpjn06KwwWZvOr6SoxFKI0fTPESOUeufdMoQrFx6aEchvaPqBVxhNXR7A2s..."
1780402925750,700,700,7.216,110.020,AE/OFF AF/OFF ,31459.988,""
1780402925784,700,700,7.216,109.176,AE/OFF AF/OFF ,31858.535,""
1780402925819,700,700,7.216,107.896,AE/OFF AF/OFF ,31742.916,""
1780402925850,700,700,7.216,106.136,AE/OFF AF/OFF ,31738.537,""
1780402925885,700,700,7.216,106.240,AE/OFF AF/OFF ,30880.657,""
