seq,produced_time_ms,sensor_exposure_end_ms,frame_time_ms,decode_time_ms,prod-sensor_ms,sensor-frame_ms,frame-decode_ms,prod-decode_ms,step1ms,step2ms,totalms,successStage,timedOut,crcOk
183,1780399513809,1780402921782,1780402921816,1780402921860,3407973,34,44,3408051,4,29,34,2,false,true
184,1780399560640,1780402921915,1780402921947,1780402921973,3361275,32,26,3361333,4,12,15,2,false,true
185,1780399560841,1780402922015,1780402922049,1780402922072,3361174,34,23,3361231,3,9,13,2,false,true
186,1780399561041,1780402922281,1780402922314,1780402922339,3361240,33,25,3361298,4,10,14,2,false,true
187,1780399561242,1780402922415,1780402922447,1780402922469,3361173,32,22,3361227,3,8,11,2,false,true
188,1780399561443,1780402922648,1780402922681,1780402922708,3361205,33,27,3361265,5,16,20,2,false,true
192,1780399562251,1780402923549,1780402923587,1780402923612,3361298,38,25,3361361,10,7,17,2,false,true
193,1780399562453,1780402923683,1780402923717,1780402923728,3361230,34,11,3361275,4,0,5,1,false,true
194,1780399562654,1780402923883,1780402923916,1780402923936,3361229,33,20,3361282,4,9,13,2,false,true
198,1780399563462,1780402924717,1780402924748,1780402924759,3361255,31,11,3361297,4,0,4,1,false,true
199,1780399563664,1780402924918,1780402924949,1780402924962,3361254,31,13,3361298,7,0,7,1,false,true
200,1780399563865,1780402925151,1780402925182,1780402925197,3361286,31,15,3361332,4,0,4,1,false,true
201,1780399564067,1780402925351,1780402925384,1780402925395,3361284,33,11,3361328,4,0,4,1,false,true
202,1780399564270,1780402925485,1780402925520,1780402925539,3361215,35,19,3361269,11,0,11,1,false,true
203,1780399564475,1780402925684,1780402925717,1780402925732,3361209,33,15,3361257,4,0,4,1,false,true
205,1780399564882,1780402926086,1780402926118,1780402926133,3361204,32,15,3361251,6,0,6,1,false,true
206,1780399565085,1780402926385,1780402926416,1780402926438,3361300,31,22,3361353,4,0,5,1,false,true
207,1780399565288,1780402926485,1780402926517,1780402926530,3361197,32,13,3361242,4,0,4,1,false,true
208,1780399565491,1780402926686,1780402926720,1780402926737,3361195,34,17,3361246,3,7,11,2,false,true
209,1780399565694,1780402926919,1780402926951,1780402926973,3361225,32,22,3361279,4,7,11,2,false,true
210,1780399565897,1780402927086,1780402927122,1780402927147,3361189,36,25,3361250,10,7,18,2,false,true
211,1780399566101,1780402927286,1780402927320,1780402927339,3361185,34,19,3361238,4,8,12,2,false,true
212,1780399566303,1780402927520,1780402927551,1780402927571,3361217,31,20,3361268,5,9,13,2,false,true
213,1780399566506,1780402927719,1780402927752,1780402927774,3361213,33,22,3361268,5,9,14,2,false,true
214,1780399566710,1780402927920,1780402927953,1780402927984,3361210,33,31,3361274,10,14,24,2,false,true
215,1780399566914,1780402928120,1780402928152,1780402928176,3361206,32,24,3361262,6,12,18,2,false,true
216,1780399567118,1780402928320,1780402928355,1780402928380,3361202,35,25,3361262,4,10,14,2,false,true
217,1780399567321,1780402928520,1780402928553,1780402928572,3361199,33,19,3361251,5,8,12,2,false,true
218,1780399567525,1780402928754,1780402928787,1780402928807,3361229,33,20,3361282,4,9,13,2,false,true
219,1780399567728,1780402928954,1780402928987,1780402929015,3361226,33,28,3361287,7,9,16,2,false,true
220,1780399567931,1780402929121,1780402929152,1780402929171,3361190,31,19,3361240,3,8,11,2,false,true
222,1780399568338,1780402929655,1780402929686,1780402929709,3361317,31,23,3361371,4,10,13,2,false,true
223,1780399568540,1780402929855,1780402929893,1780402929917,3361315,38,24,3361377,6,10,15,2,false,true
224,1780399568743,1780402929988,1780402930020,1780402930041,3361245,32,21,3361298,5,9,14,2,false,true
225,1780399568946,1780402930122,1780402930156,1780402930177,3361176,34,21,3361231,4,10,14,2,false,true
228,1780399569554,1780402930856,1780402930889,1780402930900,3361302,33,11,3361346,4,0,4,1,false,true
242,1780399572404,1780402933692,1780402933727,1780402933743,3361288,35,16,3361339,4,0,4,1,false,true
268,1780399577685,1780402938930,1780402938965,1780402938990,3361245,35,25,3361305,5,9,14,2,false,true
269,1780399577887,1780402939163,1780402939198,1780402939211,3361276,35,13,3361324,6,0,6,1,false,true
274,1780399578901,1780402940132,1780402940169,1780402940179,3361231,37,10,3361278,5,0,5,1,false,true
275,1780399579105,1780402940298,1780402940333,1780402940350,3361193,35,17,3361245,9,0,9,1,false,true
276,1780399579308,1780402940598,1780402940633,1780402940651,3361290,35,18,3361343,10,0,10,1,false,true
277,1780399579512,1780402940699,1780402940733,1780402940752,3361187,34,19,3361240,5,7,12,2,false,true
278,1780399579714,1780402940932,1780402940966,1780402940995,3361218,34,29,3361281,7,9,16,2,false,true
279,1780399579916,1780402941099,1780402941136,1780402941158,3361183,37,22,3361242,6,9,14,2,false,true
280,1780399580120,1780402941333,1780402941367,1780402941381,3361213,34,14,3361261,8,0,8,1,false,true
281,1780399580323,1780402941499,1780402941533,1780402941544,3361176,34,11,3361221,4,0,4,1,false,true
283,1780399580729,1780402941966,1780402942004,1780402942017,3361237,38,13,3361288,5,0,5,1,false,true
284,1780399580932,1780402942100,1780402942135,1780402942154,3361168,35,19,3361222,4,7,12,2,false,true
285,1780399581135,1780402942334,1780402942373,1780402942399,3361199,39,26,3361264,4,9,13,2,false,true
286,1780399581338,1780402942534,1780402942567,1780402942578,3361196,33,11,3361240,5,0,5,1,false,true
287,1780399581541,1780402942733,1780402942772,1780402942795,3361192,39,23,3361254,7,8,14,2,false,true
288,1780399581744,1780402942934,1780402942974,1780402942985,3361190,40,11,3361241,4,0,4,1,false,true
289,1780399581948,1780402943134,1780402943173,1780402943184,3361186,39,11,3361236,5,0,5,1,false,true
